,date,Price
0,2021-01-01,728.91
1,2021-01-02,774.56
2,2021-01-03,978.28
3,2021-01-04,1041.43
4,2021-01-05,1099.56
5,2021-01-06,1208.42
6,2021-01-07,1224.87
7,2021-01-08,1216.93
8,2021-01-09,1276.0
9,2021-01-10,1254.25
10,2021-01-11,1087.01
11,2021-01-12,1050.16
12,2021-01-13,1129.89
13,2021-01-14,1231.62
14,2021-01-15,1168.53
15,2021-01-16,1227.83
16,2021-01-17,1232.45
17,2021-01-18,1258.45
18,2021-01-19,1365.36
19,2021-01-20,1376.99
20,2021-01-21,1110.96
21,2021-01-22,1232.62
22,2021-01-23,1233.6
23,2021-01-24,1392.51
24,2021-01-25,1317.88
25,2021-01-26,1365.97
26,2021-01-27,1239.03
27,2021-01-28,1329.69
28,2021-01-29,1379.5
29,2021-01-30,1378.05
30,2021-01-31,1312.55
31,2021-02-01,1374.17
32,2021-02-02,1511.87
33,2021-02-03,1664.49
34,2021-02-04,1595.67
35,2021-02-05,1719.19
36,2021-02-06,1676.35
37,2021-02-07,1611.62
38,2021-02-08,1750.15
39,2021-02-09,1769.13
40,2021-02-10,1740.78
41,2021-02-11,1785.62
42,2021-02-12,1840.26
43,2021-02-13,1814.96
44,2021-02-14,1800.42
45,2021-02-15,1779.25
46,2021-02-16,1781.99
47,2021-02-17,1849.88
48,2021-02-18,1939.61
49,2021-02-19,1955.0
50,2021-02-20,1913.0
51,2021-02-21,1933.53
52,2021-02-22,1777.58
53,2021-02-23,1577.89
54,2021-02-24,1623.39
55,2021-02-25,1481.75
56,2021-02-26,1444.59
57,2021-02-27,1458.13
58,2021-02-28,1419.18
59,2021-03-01,1569.86
60,2021-03-02,1486.78
61,2021-03-03,1567.69
62,2021-03-04,1539.23
63,2021-03-05,1528.31
64,2021-03-06,1650.35
65,2021-03-07,1726.16
66,2021-03-08,1833.18
67,2021-03-09,1870.51
68,2021-03-10,1795.12
69,2021-03-11,1825.78
70,2021-03-12,1766.1
71,2021-03-13,1922.35
72,2021-03-14,1848.1
73,2021-03-15,1793.48
74,2021-03-16,1805.12
75,2021-03-17,1823.58
76,2021-03-18,1776.08
77,2021-03-19,1809.1
78,2021-03-20,1806.1
79,2021-03-21,1782.98
80,2021-03-22,1680.97
81,2021-03-23,1668.08
82,2021-03-24,1581.84
83,2021-03-25,1585.74
84,2021-03-26,1698.84
85,2021-03-27,1712.63
86,2021-03-28,1687.01
87,2021-03-29,1816.74
88,2021-03-30,1840.46
89,2021-03-31,1919.37
90,2021-04-01,1968.05
91,2021-04-02,2133.69
92,2021-04-03,2008.52
93,2021-04-04,2075.69
94,2021-04-05,2107.38
95,2021-04-06,2112.21
96,2021-04-07,1963.47
97,2021-04-08,2080.46
98,2021-04-09,2066.87
99,2021-04-10,2133.49
100,2021-04-11,2151.36
101,2021-04-12,2137.69
102,2021-04-13,2299.19
103,2021-04-14,2432.6
104,2021-04-15,2514.04
105,2021-04-16,2422.67
106,2021-04-17,2317.6
107,2021-04-18,2235.64
108,2021-04-19,2161.12
109,2021-04-20,2330.03
110,2021-04-21,2357.06
111,2021-04-22,2397.94
112,2021-04-23,2367.39
113,2021-04-24,2213.35
114,2021-04-25,2320.49
115,2021-04-26,2532.6
116,2021-04-27,2666.13
117,2021-04-28,2748.24
118,2021-04-29,2757.04
119,2021-04-30,2772.42
120,2021-05-01,2944.77
121,2021-05-02,2949.56
122,2021-05-03,3431.04
123,2021-05-04,3239.01
124,2021-05-05,3524.26
125,2021-05-06,3489.73
126,2021-05-07,3479.53
127,2021-05-08,3910.26
128,2021-05-09,3923.95
129,2021-05-10,3945.88
130,2021-05-11,4173.45
131,2021-05-12,3823.21
132,2021-05-13,3717.91
133,2021-05-14,4075.01
134,2021-05-15,3646.68
135,2021-05-16,3582.1
136,2021-05-17,3282.51
137,2021-05-18,3375.07
138,2021-05-19,2438.92
139,2021-05-20,2768.62
140,2021-05-21,2430.98
141,2021-05-22,2294.87
142,2021-05-23,2096.39
143,2021-05-24,2648.43
144,2021-05-25,2705.11
145,2021-05-26,2884.94
146,2021-05-27,2742.23
147,2021-05-28,2412.1
148,2021-05-29,2278.74
149,2021-05-30,2385.98
150,2021-05-31,2706.15
